FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
3,17,16,0,MaxPCS7AlarmLevel,System.Int16,,,,,,-1=》通讯异常; 0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,,,1
3,18,16,0,MaxPCS8AlarmLevel,System.Int16,,,,,,-1=》通讯异常; 0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,,,1
3,19,16,0,MaxPCS9AlarmLevel,System.Int16,,,,,,-1=》通讯异常; 0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,,,1
3,20,16,0,MaxPCS10AlarmLevel,System.Int16,,,,,,-1=》通讯异常; 0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,,,1
3,100,16,0,tActivePower,System.Int16,,,,,,控制仓总有功功率(+表示充电，-表示放电),,,1
3,101,16,0,tReactivePower,System.Int16,,,,,,控制仓总无功功率,,,1
3,102,16,0,avgActivePower,System.Int16,,,,,,控制仓平均有功功率(+表示充电，-表示放电),,,1
3,103,16,0,maxPower,System.Int16,,,,,,控制仓最高有功功率(不考虑正负，绝对值最高),,,1
3,104,16,0,maxPowerIndex,System.Int16,,,,,,控制仓最高有功功率PCS编号,,,1
3,105,16,0,minPower,System.Int16,,,,,,控制仓最低有功功率(不考虑正负，绝对值最高),,,1
3,106,16,0,minPowerIndex,System.Int16,,,,,,控制仓最低有功功率PCS编号,,,1
3,107,16,0,tSoc,System.Int16,,,,,,电池仓总SOC,,,1
3,108,16,0,avgSoc,System.Int16,,,,,,电池仓平均SOC,,,1
3,109,16,0,maxSoc,System.Int16,,,,,,电池仓最高SOC,,,1
3,110,16,0,maxSocIndex,System.Int16,,,,,,电池仓最高SOCBMS编号,,,1
3,111,16,0,minSoc,System.Int16,,,,,,电池仓最低SOC,,,1
3,112,16,0,minSocIndex,System.Int16,,,,,,电池仓最低SOCBMS编号,,,1
3,113,16,0,masterHeart,System.Int16,,,,,,主机心跳，主机检测到为0，连接正常并至1，从机检测到1，将其至0,,,1
3,200,16,0,EMU1,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,201,16,0,EMU2,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,202,16,0,EMU3,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,203,16,0,EMU4,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10        
3,204,16,0,EMU5,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,205,16,0,EMU6,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,206,16,0,EMU7,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,207,16,0,EMU8,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,208,16,0,EMU9,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,209,16,0,EMU10,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,210,16,0,EMU11,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,211,16,0,EMU12,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,212,16,0,EMU13,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,213,16,0,EMU14,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,214,16,0,EMU15,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,215,16,0,EMU16,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,216,16,0,EMU17,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,217,16,0,EMU18,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,218,16,0,EMU19,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,219,16,0,EMU20,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,220,16,0,EMU21,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,221,16,0,EMU22,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,222,16,0,EMU23,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,223,16,0,EMU24,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,224,16,0,EMU25,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,225,16,0,EMU26,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,226,16,0,EMU27,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,227,16,0,EMU28,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,228,16,0,EMU29,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
3,229,16,0,EMU30,System.Int16,,,,,,EMU是否启用0=》不启用；1=》启用A网连接；2=》启用B网连接；3=》网络连接异常,,,10
