InfoPointType,InfoName,DataType,IOA,PointMapTsl,Common
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,总电压
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,总电流
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,功率
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,soc
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,soh
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,运行状态
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,循环次数
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,空调-容霜温度
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,空调-冷凝温度
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,消防-外接探测器
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,消防-灭火系统设备反馈
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,液冷-供液温度
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,液冷-回液温度
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-a相电压
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-b相电压
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-c相电压
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-a相电流
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-b相电流
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,电表-c相电流
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,总电压
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,总电流
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,功率
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,soc
遥测,agcRemote,C_DC_TA_1,1,BMS2.agcEnableDisable,soh
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,运行状态
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,循环次数
